		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   57   58   56   58   50   55   60   54  2.268678 0.971647 SUCCESS   0
000000011   52   54   60   54   60   59   67   56  2.996912 0.934551 SUCCESS   1
000000101   63   73   55   50   47   48   51   54 11.452790 0.177339 SUCCESS   2
000000111   56   50   64   53   66   51   64   68  6.511419 0.590141 SUCCESS   3
000001001   69   55   53   58   54   75   53   68  9.782564 0.280620 SUCCESS   4
000001011   59   52   51   40   55   53   52   54 10.174981 0.252959 SUCCESS   5
000001101   58   64   55   64   70   61   71   53  6.709791 0.568243 SUCCESS   6
000001111   57   48   66   51   71   61   58   53  7.395782 0.494594 SUCCESS   7
000010001   60   57   68   62   70   59   50   59  5.316174 0.723310 SUCCESS   8
000010011   58   57   64   52   51   57   53   61  3.164305 0.923627 SUCCESS   9
000010101   56   61   67   75   54   61   57   55  6.817632 0.556431 SUCCESS  10
000010111   61   57   64   45   54   57   43   54  9.231547 0.323141 SUCCESS  11
000011001   49   56   45   55   61   57   55   59  5.833809 0.665842 SUCCESS  12
000011011   51   67   59   52   73   66   54   49  9.617026 0.292941 SUCCESS  13
000011101   61   62   64   60   41   47   64   58  9.275645 0.319579 SUCCESS  14
000011111   51   62   68   51   62   68   56   62  5.792115 0.670505 SUCCESS  15
000100011   70   68   67   66   69   55   59   62  8.041521 0.429425 SUCCESS  16
000100101   81   55   43   58   72   70   59   55 18.840084 0.015739 SUCCESS  17
000100111   61   64   63   53   63   58   49   61  3.557271 0.894700 SUCCESS  18
000101001   56   69   44   64   63   62   41   55 12.613829 0.125845 SUCCESS  19
000101011   56   67   64   63   55   73   58   58  5.922486 0.655914 SUCCESS  20
000101101   45   58   65   67   67   52   67   50  9.757699 0.282446 SUCCESS  21
000101111   57   50   65   49   50   64   58   59  5.636879 0.687832 SUCCESS  22
000110011   66   51   60   55   46   56   49   53  7.567846 0.476780 SUCCESS  23
000110101   56   53   48   77   60   59   69   53 11.050963 0.198828 SUCCESS  24
000110111   51   64   65   46   70   71   55   68 11.662908 0.166890 SUCCESS  25
000111001   68   61   59   48   66   62   62   65  5.567985 0.695497 SUCCESS  26
000111011   63   54   63   57   54   57   73   58  5.099531 0.746887 SUCCESS  27
000111101   56   58   61   61   51   51   63   67  3.952092 0.861420 SUCCESS  28
000111111   74   70   61   50   63   57   56   60  8.240786 0.410310 SUCCESS  29
001000011   59   50   58   58   48   59   48   67  6.675516 0.572012 SUCCESS  30
001000101   57   59   72   51   62   72   47   57  9.939174 0.269321 SUCCESS  31
001000111   74   64   56   66   64   54   51   64  8.008207 0.432669 SUCCESS  32
001001011   75   59   53   57   77   64   70   57 13.817112 0.086659 SUCCESS  33
001001101   50   54   49   60   49   48   45   57 10.640138 0.222935 SUCCESS  34
001001111   60   58   54   49   62   61   64   57  2.929391 0.938710 SUCCESS  35
001010011   62   61   61   69   61   64   51   52  4.620773 0.797232 SUCCESS  36
001010101   49   62   55   77   58   42   60   63 13.258126 0.103272 SUCCESS  37
001010111   64   58   52   66   57   60   66   47  5.653777 0.685950 SUCCESS  38
001011011   52   51   61   46   74   66   73   44 17.221375 0.027885 SUCCESS  39
001011101   47   60   46   54   66   62   60   61  6.965312 0.540380 SUCCESS  40
001011111   57   44   70   58   59   72   56   59  9.327710 0.315409 SUCCESS  41
001100101   57   61   58   69   54   54   61   56  3.016144 0.933340 SUCCESS  42
001100111   61   58   64   58   53   56   42   62  6.459354 0.595920 SUCCESS  43
001101011   64   49   57   69   58   55   62   60  4.520419 0.807387 SUCCESS  44
