		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   65   58   57   64   81   56   64   61 10.575984 0.226901 SUCCESS   0
000000011   55   60   58   63   67   53   61   55  2.713229 0.951046 SUCCESS   1
000000101   61   61   58   58   62   56   56   73  4.190784 0.839513 SUCCESS   2
000000111   56   57   63   68   64   54   68   59  4.358658 0.823402 SUCCESS   3
000001001   58   46   63   54   58   58   57   75  8.302193 0.404522 SUCCESS   4
000001011   61   61   65   56   47   60   57   56  3.654328 0.886888 SUCCESS   5
000001101   57   63   57   60   66   66   53   49  4.552771 0.804131 SUCCESS   6
000001111   60   59   72   59   52   61   63   53  4.888520 0.769422 SUCCESS   7
000010001   45   56   71   66   67   48   59   61 10.333995 0.242362 SUCCESS   8
000010011   59   49   60   63   53   53   63   66  4.430850 0.816311 SUCCESS   9
000010101   53   69   64   55   62   59   52   55  4.398497 0.819500 SUCCESS  10
000010111   48   58   60   69   49   53   63   64  6.984545 0.538301 SUCCESS  11
000011001   50   52   55   63   65   46   57   59  6.359000 0.607086 SUCCESS  12
000011011   50   55   49   61   73   69   66   51 10.745232 0.216557 SUCCESS  13
000011101   61   57   53   59   64   61   55   59  1.549854 0.991849 SUCCESS  14
000011111   56   75   64   62   60   56   59   40 11.786684 0.160978 SUCCESS  15
000100011   63   58   76   67   64   52   65   66  9.572516 0.296320 SUCCESS  16
000100101   65   53   63   55   56   79   55   68 10.881235 0.208520 SUCCESS  17
000100111   54   62   55   57   50   58   65   66  3.857371 0.869757 SUCCESS  18
000101001   53   47   57   49   65   68   51   65  8.699349 0.368290 SUCCESS  19
000101011   46   69   56   61   72   53   56   63  9.035579 0.339303 SUCCESS  20
000101101   61   70   58   48   58   66   69   64  7.575402 0.476004 SUCCESS  21
000101111   47   63   66   68   51   52   62   72 10.282890 0.245729 SUCCESS  22
000110011   65   62   51   43   56   51   60   59  7.554727 0.478127 SUCCESS  23
000110101   59   54   52   64   62   58   52   51  3.772953 0.877005 SUCCESS  24
000110111   57   54   68   57   59   65   61   59  2.767630 0.948083 SUCCESS  25
000111001   70   47   62   67   61   63   69   58  8.246418 0.409777 SUCCESS  26
000111011   66   63   57   67   54   70   59   62  5.246318 0.730954 SUCCESS  27
000111101   44   69   56   65   49   49   54   56 10.422122 0.236639 SUCCESS  28
000111111   45   70   54   58   53   58   52   51  8.463474 0.389554 SUCCESS  29
001000011   60   66   38   60   63   55   66   57 10.103751 0.257819 SUCCESS  30
001000101   58   48   56   70   68   61   60   58  6.013910 0.645674 SUCCESS  31
001000111   59   63   79   75   47   55   68   70 18.486545 0.017860 SUCCESS  32
001001011   68   58   65   60   60   83   55   45 16.121331 0.040676 SUCCESS  33
001001101   67   51   66   67   55   66   56   58  5.657074 0.685582 SUCCESS  34
001001111   56   49   60   54   50   58   58   65  4.322047 0.826961 SUCCESS  35
001010011   49   63   48   56   66   64   52   64  6.865439 0.551218 SUCCESS  36
001010101   53   61   70   54   63   69   59   58  5.435279 0.710199 SUCCESS  37
001010111   51   56   43   62   62   56   46   66  9.894595 0.272502 SUCCESS  38
001011011   67   64   53   40   64   60   72   63 12.336260 0.136820 SUCCESS  39
001011101   58   50   50   59   56   53   56   55  3.864377 0.869148 SUCCESS  40
001011111   56   65   59   63   66   48   58   70  6.300890 0.613567 SUCCESS  41
001100101   60   45   61   65   75   51   57   56 10.014662 0.263998 SUCCESS  42
001100111   68   56   43   54   62   51   68   71 11.775900 0.161486 SUCCESS  43
001101011   61   60   52   56   59   56   51   56  2.412168 0.965701 SUCCESS  44
001101101   53   54   62   51   65   57   65   48  5.710033 0.679675 SUCCESS  45
001101111   55   56   69   58   62   67   62   49  5.461999 0.707246 SUCCESS  46
001110101   59   59   57   53   66   73   48   57  7.214788 0.513646 SUCCESS  47
001110111   67   64   55   52   49   52   62   54  5.815538 0.667886 SUCCESS  48
001111011   53   60   54   58   48   42   54   58  8.473777 0.388609 SUCCESS  49
001111101   59   58   62   51   50   45   76   64 11.651162 0.167460 SUCCESS  50
001111111   52   69   55   51   59   57   58   50  5.401485 0.713929 SUCCESS  51
010000011   64   58   51   74   64   52   64   54  7.785932 0.454656 SUCCESS  52
010000111   59   67   45   57   66   62   48   50  9.096986 0.334181 SUCCESS  53
010001011   53   53   45   64   58   61   55   68  6.849023 0.553006 SUCCESS  54
010001111   51   62   62   57   52   57   61   59  2.445001 0.964246 SUCCESS  55
010010011   68   46   70   58   57   58   55   57  6.965793 0.540328 SUCCESS  56
010010111   57   58   62   59   71   65   64   55  4.266753 0.832290 SUCCESS  57
010011011   51   62   65   62   59   57   63   60  2.497067 0.961868 SUCCESS  58
010011111   54   60   55   50   52   53   71   54  6.478106 0.593837 SUCCESS  59
010100011   70   59   62   55   68   64   61   50  6.046743 0.641996 SUCCESS  60
010100111   54   63   53   48   61   67   55   70  7.084898 0.527501 SUCCESS  61
010101011   53   61   68   58   53   67   58   53  4.552771 0.804131 SUCCESS  62
010101111   43   61   53   73   49   70   48   61 14.645631 0.066413 SUCCESS  63
010110011   50   62   66   55   55   58   50   56  4.476321 0.811797 SUCCESS  64
010110111   67   50   62   59   71   46   76   46 16.304660 0.038221 SUCCESS  65
010111011   55   47   60   61   58   64   53   61  3.978812 0.859030 SUCCESS  66
010111111   53   49   50   60   63   58   60   64  4.492738 0.810159 SUCCESS  67
011000111   62   61   51   57   54   65   49   57  4.222174 0.836542 SUCCESS  68
011001111   63   54   53   59   60   56   46   77 10.176904 0.252829 SUCCESS  69
011010111   60   53   46   57   62   62   47   62  6.548442 0.586040 SUCCESS  70
011011111   68   60   61   69   69   64   62   59  5.904215 0.657960 SUCCESS  71
011101111   65   64   55   48   42   54   56   64  9.443038 0.306310 SUCCESS  72
011111111   45   66   64   60   68   61   54   56  6.876704 0.549992 SUCCESS  73
100000000   65   58   57   64   81   56   64   61 10.575984 0.226901 SUCCESS  74
100010000   64   59   42   75   63   63   66   60 11.606171 0.169659 SUCCESS  75
100100000   51   60   46   58   62   55   58   59  4.438337 0.815570 SUCCESS  76
100101000   71   60   58   54   59   64   59   60  3.557752 0.894662 SUCCESS  77
100110000   70   53   58   61   54   54   64   59  4.179519 0.840574 SUCCESS  78
100111000   60   59   52   58   52   53   46   54  5.549645 0.697534 SUCCESS  79
101000000   68   47   67   54   60   45   58   61  8.997113 0.342540 SUCCESS  80
101000100   70   69   55   61   61   70   60   56  6.820929 0.556071 SUCCESS  81
101001000   59   50   55   52   61   63   58   55  3.093968 0.928323 SUCCESS  82
101001100   79   53   52   58   62   61   52   45 13.019915 0.111166 SUCCESS  83
101010000   56   54   60   57   61   58   50   66  2.996912 0.934551 SUCCESS  84
101010100   58   63   59   52   67   66   50   66  5.499984 0.703042 SUCCESS  85
101011000   51   52   62   74   58   68   64   50  9.460416 0.304955 SUCCESS  86
101011100   45   61   45   45   64   62   54   57 11.257715 0.187520 SUCCESS  87
101100000   54   57   73   61   59   73   74   63 12.001954 0.151117 SUCCESS  88
101100100   60   74   56   69   59   48   63   52  9.227837 0.323442 SUCCESS  89
101101000   62   50   64   61   56   57   61   60  2.407497 0.965905 SUCCESS  90
101101100   63   68   54   46   54   64   55   74 10.280074 0.245916 SUCCESS  91
101110000   61   71   63   63   57   59   57   60  3.457879 0.902434 SUCCESS  92
101110100   60   60   58   51   59   39   50   46 12.279935 0.139144 SUCCESS  93
101111000   51   59   61   53   58   64   55   67  3.670744 0.885542 SUCCESS  94
101111100   64   57   47   62   58   60   60   59  3.224339 0.919500 SUCCESS  95
