		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   72   71   71   62   62   48   74   53 15.353739 0.052621 SUCCESS   0
000000011   53   68   78   55   51   62   64   47 12.988043 0.112262 SUCCESS   1
000000101   68   59   56   58   69   55   48   59  5.772882 0.672655 SUCCESS   2
000000111   55   55   70   54   52   54   48   59  6.394168 0.603169 SUCCESS   3
000001001   56   58   70   47   67   52   75   59 11.411096 0.179476 SUCCESS   4
000001011   56   63   61   62   56   50   56   62  2.531754 0.960234 SUCCESS   5
000001101   59   66   58   57   60   73   61   59  4.632038 0.796082 SUCCESS   6
000001111   56   52   66   64   56   40   67   61  9.960261 0.267826 SUCCESS   7
000010001   76   58   62   73   62   48   56   50 12.666376 0.123856 SUCCESS   8
000010011   51   54   61   52   70   54   74   55  9.300510 0.317583 SUCCESS   9
000010101   54   52   61   64   69   57   56   63  4.111998 0.846880 SUCCESS  10
000010111   58   55   56   58   63   44   52   62  5.574510 0.694772 SUCCESS  11
000011001   67   59   58   62   64   58   63   65  2.841264 0.943921 SUCCESS  12
000011011   55   61   62   67   58   72   47   65  7.897069 0.443589 SUCCESS  13
000011101   52   46   65   51   63   46   57   63  9.004600 0.341908 SUCCESS  14
000011111   54   55   52   68   68   50   63   59  6.121750 0.633596 SUCCESS  15
000100011   63   61   57   62   57   55   59   59  0.944023 0.998578 SUCCESS  16
000100101   65   58   61   41   63   55   60   48  8.988665 0.343253 SUCCESS  17
000100111   51   48   61   61   58   60   73   59  6.873888 0.550298 SUCCESS  18
000101001   54   61   52   55   52   59   60   45  5.752688 0.674912 SUCCESS  19
000101011   51   58   56   59   56   57   55   63  1.982179 0.981553 SUCCESS  20
000101101   55   67   59   58   49   60   52   55  4.232958 0.835517 SUCCESS  21
000101111   55   70   48   78   56   57   58   60 11.221654 0.189454 SUCCESS  22
000110011   59   62   61   63   65   52   69   62  4.069343 0.850814 SUCCESS  23
000110101   65   49   60   52   53   59   68   56  5.423533 0.711496 SUCCESS  24
000110111   40   60   68   56   55   62   52   63  9.427102 0.307556 SUCCESS  25
000111001   46   62   64   74   51   63   58   55  9.243773 0.322151 SUCCESS  26
000111011   61   45   57   62   59   56   54   64  4.692964 0.789832 SUCCESS  27
000111101   50   52   61   60   48   56   65   64  5.628912 0.688720 SUCCESS  28
000111111   55   60   60   54   63   55   68   59  2.761998 0.948394 SUCCESS  29
001000011   61   57   51   66   58   58   56   54  2.691180 0.952220 SUCCESS  30
001000101   61   68   54   55   51   63   58   53  4.217023 0.837031 SUCCESS  31
001000111   58   65   62   68   55   60   52   67  4.626405 0.796657 SUCCESS  32
001001011   64   67   64   53   56   50   53   52  5.631728 0.688406 SUCCESS  33
001001101   69   58   60   61   62   57   62   66  3.274069 0.916000 SUCCESS  34
001001111   64   52   64   59   73   57   69   66  8.100593 0.423706 SUCCESS  35
001010011   55   55   49   63   57   62   58   42  7.724936 0.460790 SUCCESS  36
001010101   59   48   76   46   58   53   57   47 13.249197 0.103558 SUCCESS  37
001010111   50   66   52   46   57   54   52   70  9.453822 0.305469 SUCCESS  38
001011011   65   60   58   58   57   67   54   55  2.621324 0.955833 SUCCESS  39
001011101   59   55   59   46   56   52   54   54  4.905829 0.767592 SUCCESS  40
001011111   55   55   69   66   54   62   49   54  5.929492 0.655130 SUCCESS  41
001100101   56   58   50   58   50   67   64   52  5.358348 0.718678 SUCCESS  42
001100111   68   65   47   62   64   49   68   58  8.454132 0.390411 SUCCESS  43
001101011   66   43   59   57   59   58   78   50 13.214990 0.104663 SUCCESS  44
001101101   72   70   49   72   71   67   69   78 22.115488 0.004706 FAILURE  45
001101111   57   63   74   69   54   61   59   67  7.924751 0.440855 SUCCESS  46
001110101   41   55   73   55   57   62   63   63 10.482636 0.232771 SUCCESS  47
001110111   65   50   49   71   64   68   57   53  8.954458 0.346152 SUCCESS  48
001111011   46   55   67   53   57   56   63   59  5.417901 0.712118 SUCCESS  49
001111101   68   65   55   65   69   67   55   68  7.838478 0.449405 SUCCESS  50
001111111   76   58   57   67   50   70   51   61 11.170550 0.192222 SUCCESS  51
010000011   54   53   52   61   73   42   64   74 14.941059 0.060302 SUCCESS  52
010000111   64   55   46   54   57   68   57   64  6.094550 0.636642 SUCCESS  53
010001011   56   74   59   55   66   66   54   62  6.858433 0.551981 SUCCESS  54
010001111   52   69   67   59   63   69   59   59  5.960470 0.651660 SUCCESS  55
010010011   63   63   54   61   62   59   57   63  1.655840 0.989808 SUCCESS  56
010010111   59   51   81   49   51   65   52   41 19.560762 0.012132 SUCCESS  57
010011011   66   63   53   61   69   68   63   69  7.346120 0.499790 SUCCESS  58
010011111   69   46   42   61   64   72   49   65 15.663180 0.047463 SUCCESS  59
010100011   52   66   63   62   64   69   73   58  8.068241 0.426833 SUCCESS  60
010100111   56   62   40   45   56   54   49   52 12.939687 0.113942 SUCCESS  61
010101011   54   46   78   42   48   50   61   40 24.456181 0.001921 FAILURE  62
010101111   55   58   71   50   57   56   44   53  8.888311 0.351805 SUCCESS  63
010110011   66   57   65   57   68   58   64   61  3.755643 0.878470 SUCCESS  64
010110111   65   60   57   56   51   49   64   42  9.099322 0.333987 SUCCESS  65
010111011   51   64   60   50   60   60   49   63  4.985096 0.759168 SUCCESS  66
010111111   58   59   68   54   43   64   45   62 10.303497 0.244367 SUCCESS  67
011000111   55   75   69   62   62   64   47   66 10.886867 0.208192 SUCCESS  68
011001111   59   66   63   50   63   61   56   60  3.140882 0.925208 SUCCESS  69
011010111   65   51   64   58   55   60   72   65  6.246969 0.619589 SUCCESS  70
011011111   65   62   68   62   62   48   65   63  5.735859 0.676792 SUCCESS  71
011101111   66   51   52   64   53   68   48   54  7.809354 0.452311 SUCCESS  72
011111111   72   56   53   59   54   63   58   68  6.005942 0.646566 SUCCESS  73
100000000   72   71   71   62   62   48   74   53 15.353739 0.052621 SUCCESS  74
100010000   63   56   62   51   77   43   58   74 15.982993 0.042624 SUCCESS  75
100100000   53   54   64   67   66   63   73   55  7.670123 0.466338 SUCCESS  76
100101000   59   68   50   61   65   61   60   63  4.028542 0.854539 SUCCESS  77
100110000   60   70   55   59   71   67   52   55  7.347975 0.499596 SUCCESS  78
100111000   54   52   55   63   65   51   59   67  4.712197 0.787847 SUCCESS  79
101000000   64   64   50   61   56   49   50   71  8.204656 0.413739 SUCCESS  80
101000100   66   57   59   56   54   71   57   56  4.323009 0.826868 SUCCESS  81
101001000   50   57   58   66   55   61   58   50  4.057116 0.851934 SUCCESS  82
101001100   59   54   48   59   55   53   55   57  3.621014 0.889598 SUCCESS  83
101010000   62   48   62   56   67   44   58   65  8.272176 0.407345 SUCCESS  84
101010100   52   52   54   60   63   68   56   64  4.468834 0.812543 SUCCESS  85
101011000   55   59   71   52   46   62   63   65  7.731531 0.460125 SUCCESS  86
101011100   56   49   54   53   63   58   67   56  4.468353 0.812591 SUCCESS  87
101100000   47   47   79   64   55   54   62   46 16.271346 0.038657 SUCCESS  88
101100100   57   66   55   52   61   60   69   58  3.984925 0.858481 SUCCESS  89
101101000   57   65   61   59   58   58   61   68  2.410794 0.965761 SUCCESS  90
101101100   64   72   63   73   60   60   52   54  8.657655 0.371993 SUCCESS  91
101110000   60   54   63   57   62   53   71   59  4.185151 0.840044 SUCCESS  92
101110100   54   43   65   55   51   62   50   79 15.514057 0.049888 SUCCESS  93
101111000   45   54   69   62   58   45   58   59  9.140122 0.330614 SUCCESS  94
101111100   68   52   56   64   55   66   52   66  5.802899 0.669299 SUCCESS  95
110000000   63   68   73   59   68   61   66   35 17.785031 0.022897 SUCCESS  96
110000010   51   62   68   59   55   53   52   58  4.411617 0.818209 SUCCESS  97
110000100   64   55   67   51   65   51   71   61  7.426280 0.491414 SUCCESS  98
110001000   60   59   57   52   67   48   60   70  6.359962 0.606979 SUCCESS  99
110001010   59   67   58   51   54   69   58   47  6.960160 0.540937 SUCCESS 100
110010000   58   70   56   72   54   63   62   54  6.714943 0.567677 SUCCESS 101
110010010   54   64   58   66   68   40   66   60 10.442316 0.235342 SUCCESS 102
110010100   53   65   53   68   61   69   57   63  5.624722 0.689186 SUCCESS 103
110011000   59   73   55   60   64   69   69   55  8.206098 0.413601 SUCCESS 104
110011010   68   57   64   61   53   67   71   67  7.670604 0.466290 SUCCESS 105
110100000   60   60   53   70   57   51   60   70  6.203352 0.624465 SUCCESS 106
110100010   61   64   61   52   64   63   59   61  2.326857 0.969317 SUCCESS 107
110100100   56   61   55   62   58   66   58   56  1.728513 0.988234 SUCCESS 108
110101000   49   49   61   51   53   50   69   57  8.379536 0.397301 SUCCESS 109
110101010   47   50   56   56   53   65   60   57  5.441805 0.709479 SUCCESS 110
110101100   61   61   49   66   61   62   67   62  4.393827 0.819959 SUCCESS 111
110110000   51   42   62   49   63   49   54   48 12.369024 0.135483 SUCCESS 112
110110010   70   73   66   59   67   57   56   65  8.706905 0.367621 SUCCESS 113
110110100   71   75   55   55   59   60   60   72 10.846547 0.210547 SUCCESS 114
110111000   56   59   59   66   62   59   73   53  5.364942 0.717953 SUCCESS 115
110111010   58   44   54   51   53   62   51   66  8.098189 0.423938 SUCCESS 116
110111100   57   59   56   60   50   54   63   57  2.358247 0.968014 SUCCESS 117
111000000   58   66   61   60   60   55   45   65  5.337261 0.720996 SUCCESS 118
111000010   67   57   62   65   59   48   60   56  4.309409 0.828184 SUCCESS 119
111000100   58   48   60   54   61   57   60   74  6.722430 0.566855 SUCCESS 120
111000110   55   52   51   57   62   62   61   47  5.092936 0.747598 SUCCESS 121
111001000   57   74   55   71   56   55   60   63  7.713259 0.461969 SUCCESS 122
111001010   49   64   64   46   57   61   44   55  9.775490 0.281139 SUCCESS 123
111001100   77   60   57   50   59   62   66   58  8.367859 0.398386 SUCCESS 124
111010000   62   57   50   62   59   67   58   65  3.646841 0.887499 SUCCESS 125
111010010   60   53   62   56   61   64   58   50  2.869838 0.942258 SUCCESS 126
111010100   57   47   61   55   60   53   62   50  5.008999 0.756614 SUCCESS 127
111010110   68   63   53   70   61   60   57   51  5.830100 0.666257 SUCCESS 128
111011000   59   56   64   49   60   62   51   53  4.173406 0.841149 SUCCESS 129
111011010   59   68   52   49   52   57   54   67  6.451386 0.596805 SUCCESS 130
111011100   59   61   58   73   64   60   67   61  5.403408 0.713716 SUCCESS 131
111100000   58   74   71   57   51   48   46   59 12.752168 0.120666 SUCCESS 132
111100010   58   55   61   62   69   57   65   63  3.398326 0.906936 SUCCESS 133
