		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   64   44   63   70   45   50   66   45 15.819308 0.045041 SUCCESS   0
000000011   60   42   58   60   43   59   62   66 10.511691 0.230931 SUCCESS   1
000000101   60   57   67   58   57   63   73   57  5.240685 0.731569 SUCCESS   2
000000111   62   50   67   54   55   67   71   66  8.089328 0.424793 SUCCESS   3
000001001   65   58   72   55   60   56   56   60  4.328641 0.826322 SUCCESS   4
000001011   65   64   68   60   51   62   73   61  7.537898 0.479858 SUCCESS   5
000001101   48   52   55   56   63   50   61   54  5.425388 0.711292 SUCCESS   6
000001111   66   44   63   59   57   50   76   60 11.719164 0.164181 SUCCESS   7
000010001   51   70   69   67   56   52   62   46 10.298826 0.244675 SUCCESS   8
000010011   66   68   60   55   60   51   63   61  4.166399 0.841807 SUCCESS   9
000010101   46   57   59   64   58   69   70   54  7.864236 0.446843 SUCCESS  10
000010111   66   74   65   55   50   70   65   77 15.960051 0.042955 SUCCESS  11
000011001   63   57   65   67   57   62   66   58  3.379574 0.908332 SUCCESS  12
000011011   49   57   52   62   66   60   64   52  4.966344 0.761167 SUCCESS  13
000011101   64   59   73   59   48   61   51   53  7.820619 0.451186 SUCCESS  14
000011111   64   49   60   50   56   49   67   64  7.038465 0.532488 SUCCESS  15
000100011   49   52   60   56   53   63   60   58  3.607894 0.890657 SUCCESS  16
000100101   70   56   69   64   66   49   50   53  9.200637 0.325654 SUCCESS  17
000100111   65   66   59   66   66   59   59   72  6.466909 0.595080 SUCCESS  18
000101001   62   58   50   49   64   65   53   65  5.661745 0.685062 SUCCESS  19
000101011   51   61   53   73   67   62   68   56  8.275954 0.406989 SUCCESS  20
000101101   60   56   55   56   68   45   68   40 13.100555 0.108436 SUCCESS  21
000101111   69   63   58   50   55   48   46   50 10.067621 0.260312 SUCCESS  22
000110011   59   40   58   71   62   63   53   58  9.938693 0.269355 SUCCESS  23
000110101   61   39   53   64   58   69   64   65 11.037363 0.199591 SUCCESS  24
000110111   50   56   48   56   64   73   62   53  8.483187 0.387748 SUCCESS  25
000111001   54   60   56   62   58   67   77   64  8.235634 0.410798 SUCCESS  26
000111011   58   55   55   62   42   61   43   49 11.836346 0.158656 SUCCESS  27
000111101   55   60   64   59   70   56   61   60  3.206068 0.920768 SUCCESS  28
000111111   58   54   64   57   57   48   53   75  8.264209 0.408096 SUCCESS  29
001000011   65   52   65   57   61   63   58   61  2.710893 0.951171 SUCCESS  30
001000101   56   54   53   65   71   62   57   58  4.674693 0.791712 SUCCESS  31
001000111   55   66   55   57   46   57   51   58  5.501357 0.702890 SUCCESS  32
001001011   50   55   60   66   64   63   61   59  3.422230 0.905141 SUCCESS  33
001001101   49   70   56   55   50   43   60   70 12.272929 0.139436 SUCCESS  34
001001111   65   74   59   80   65   59   50   54 15.077543 0.057655 SUCCESS  35
001010011   64   62   61   48   52   68   54   51  6.570491 0.583600 SUCCESS  36
001010101   59   57   69   60   68   59   61   56  3.620121 0.889670 SUCCESS  37
001010111   52   70   57   57   58   51   50   59  5.580143 0.694146 SUCCESS  38
001011011   69   64   54   52   70   53   80   55 14.471231 0.070280 SUCCESS  39
001011101   62   60   59   62   64   79   55   65  8.958236 0.345831 SUCCESS  40
001011111   70   70   55   52   59   52   43   55 10.939345 0.205160 SUCCESS  41
001100101   63   74   57   49   48   58   60   48 10.260361 0.247226 SUCCESS  42
001100111   61   52   61   54   65   54   59   63  2.780749 0.947354 SUCCESS  43
001101011   60   64   66   62   61   85   61   59 13.822744 0.086504 SUCCESS  44
001101101   56   53   59   55   65   48   63   43  8.417521 0.393783 SUCCESS  45
001101111   57   67   53   56   63   63   59   43  6.981729 0.538605 SUCCESS  46
001110101   53   69   68   59   50   55   53   53  6.711165 0.568092 SUCCESS  47
001110111   62   57   60   51   40   52   53   59  8.960983 0.345598 SUCCESS  48
001111011   55   57   82   58   67   65   56   48 13.829750 0.086312 SUCCESS  49
001111101   55   57   53   66   51   49   68   65  6.738366 0.565106 SUCCESS  50
001111111   69   57   60   52   63   51   58   63  4.425698 0.816820 SUCCESS  51
010000011   52   51   53   56   67   52   61   65  5.371949 0.717182 SUCCESS  52
010000111   63   59   73   58   51   54   68   58  6.839200 0.554077 SUCCESS  53
