		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.804688	M = 30116	N = 8	m = 9	n = 240932
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  294  133   34   14   41   80   81   73 1141.339670 0.000000 FAILURE   0
000000011   92   37   15    7   18   27   49   72 160.492220 0.000000 FAILURE   1
000000101  117   53   27   22   34   45   51   52 117.810613 0.000000 FAILURE   2
000000111   38   27   17   11   10   20   47   56 167.270336 0.000000 FAILURE   3
000001001  202  135   66   28   52   85   90   58 510.269005 0.000000 FAILURE   4
000001011   68   42   37   30   36   53   62   49 41.011197 0.000002 FAILURE   5
000001101   67   36   34   36   35   34   49   60 52.790265 0.000000 FAILURE   6
000001111   30   18   12   16    9   10   46   49 204.689691 0.000000 FAILURE   7
000010001   88   67   49   30   43   44   52   71 44.126729 0.000001 FAILURE   8
000010011  124   86   44   41   66   74   73   63 106.000771 0.000000 FAILURE   9
000010101   42   33   43   44   40   51   39   57 39.165892 0.000005 FAILURE  10
000010111   47   26   50   52   34   43   41   50 45.701393 0.000000 FAILURE  11
000011001   40   37   41   55   34   40   69   50 40.636696 0.000002 FAILURE  12
000011011   66   42   51   44   28   44   47   60 33.818189 0.000044 FAILURE  13
000011101   40   56   48   33   36   42   42   57 39.252992 0.000004 FAILURE  14
000011111   17   17   15   10   14    6   47   51 224.946007 0.000000 FAILURE  15
000100011   22   28   39   38   22   33   39   76 102.641525 0.000000 FAILURE  16
000100101   36   46   45   53   49   37   42   45 34.339963 0.000035 FAILURE  17
000100111   30   32   50   45   41   29   50   50 55.861011 0.000000 FAILURE  18
000101001   40   36   39   48   44   61   58   51 29.334890 0.000277 FAILURE  19
000101011   56   48   61   62   65   77   60   60  9.002465 0.342088 SUCCESS  20
000101101   64   59   62   64   80   82   61   48 20.627941 0.008204 FAILURE  21
000101111   54   61   70   77   46   65   48   57 14.184760 0.077075 SUCCESS  22
000110011   34   42   56   81   68   60   63   48 28.460870 0.000394 FAILURE  23
000110101   39   60   63   74   74   82   62   50 26.356189 0.000913 FAILURE  24
000110111   52   46   59   67   52   50   48   55  9.364052 0.312522 SUCCESS  25
000111001   27   40   49   68   71   55   58   71 32.679848 0.000070 FAILURE  26
000111011   40   46   54   36   47   42   51   51 28.211111 0.000436 FAILURE  27
000111101   14   37   43   46   28   35   51   55 78.914134 0.000000 FAILURE  28
000111111   12    9   13   19   16   11   42   47 226.719874 0.000000 FAILURE  29
001000011   30   40   42   28   25   27   35   58 90.320075 0.000000 FAILURE  30
001000101   48   54   44   54   51   63   67   54  9.686623 0.287713 SUCCESS  31
001000111   16   41   37   41   30   31   32   64 93.023463 0.000000 FAILURE  32
001001011   30   66   60   50   68   54   67   59 19.963565 0.010475 SUCCESS  33
001001101   68   62   63   80   79   71   56   64 20.275970 0.009341 FAILURE  34
001001111   17   31   26   29   42   28   41   56 106.236792 0.000000 FAILURE  35
001010011   29   37   56   53   47   54   46   51 31.523098 0.000113 FAILURE  36
001010101   48   68   57   64   55   59   50   54  6.096027 0.636476 SUCCESS  37
001010111   39   45   77   73   77   61   62   67 26.880711 0.000741 FAILURE  38
001011011   47   68   72   72   87   78   60   58 30.556209 0.000168 FAILURE  39
001011101   27   52   58   55   48   55   61   60 21.285173 0.006427 FAILURE  40
001011111   32   36   53   46   37   46   53   50 38.454807 0.000006 FAILURE  41
001100101   69   68   73   71   51   65   78   56 17.837178 0.022481 SUCCESS  42
001100111   46   58   78   93   98   84   64   50 69.951931 0.000000 FAILURE  43
001101011   65   90   97  115  125  106   86   63 228.509677 0.000000 FAILURE  44
001101101   69   71   75   66   76   65   56   55 16.233115 0.039162 SUCCESS  45
001101111   66   78   89   84   92   77   55   58 60.050590 0.000000 FAILURE  46
001110101   51   82   83  100   83   79   59   68 69.622766 0.000000 FAILURE  47
001110111   48   59   65   66   53   64   52   52  6.334521 0.609815 SUCCESS  48
001111011   22   48   48   59   50   32   57   66 42.891946 0.000001 FAILURE  49
001111101   21   42   38   41   35   34   55   58 64.333862 0.000000 FAILURE  50
001111111   18   14   16   19   20   17   42   54 187.243921 0.000000 FAILURE  51
010000011   37   28   37   33   34   29   47   61 74.092877 0.000000 FAILURE  52
010000111   35   50   49   26   23   27   41   54 78.253605 0.000000 FAILURE  53
010001011   47   87   62   76   63   67   61   61 23.468985 0.002812 FAILURE  54
010001111   31   47   41   33   34   34   39   58 61.876661 0.000000 FAILURE  55
010010011   52   63   52   61   74   61   58   63  6.488662 0.592665 SUCCESS  56
010010111   56   78   78   61   68   65   65   50 17.381622 0.026372 SUCCESS  57
010011011   51   57   60   79   73   57   62   66 13.016195 0.111294 SUCCESS  58
010011111   21   18   28   22   28   18   46   58 143.778417 0.000000 FAILURE  59
010100011   60   62   54   44   44   50   59   74 13.743217 0.088709 SUCCESS  60
010100111   24   48   63   61   50   59   40   51 32.402063 0.000079 FAILURE  61
010101011   54   87   73   79   79   80   53   59 40.765834 0.000002 FAILURE  62
010101111   26   50   62   80   58   60   62   71 31.197779 0.000130 FAILURE  63
010110011   64   87   98  109   98   92   77   53 138.581834 0.000000 FAILURE  64
010110111   38   70   64   85   87   73   60   54 40.310552 0.000003 FAILURE  65
010111011   38   55   56   60   67   55   54   65 10.545806 0.228785 SUCCESS  66
010111111   11   22   28   30   26   22   45   65 142.053458 0.000000 FAILURE  67
011000111   36   43   63   74   54   64   52   69 21.429972 0.006089 FAILURE  68
011001111   24   51   62   69   66   40   74   69 37.396971 0.000010 FAILURE  69
011010111   66   71   93   86   95   77   76   66 72.062931 0.000000 FAILURE  70
011011111   42   59   66   59   63   57   53   71  9.452251 0.305591 SUCCESS  71
011101111   28   58   49   56   61   65   56   56 19.563236 0.012121 SUCCESS  72
011111111   14   14   14    5   17   13   44   62 228.469012 0.000000 FAILURE  73
100000000  294  133   34   14   41   80   81   73 1141.339670 0.000000 FAILURE  74
100010000   52   32   26   38   37   41   42   56 59.023253 0.000000 FAILURE  75
100100000  150  101   55   29   40   65   82   55 210.038493 0.000000 FAILURE  76
100101000   49   58   42   33   29   37   65   74 47.093889 0.000000 FAILURE  77
100110000  148   92   52   44   61   83   82   55 184.041564 0.000000 FAILURE  78
100111000   30   49   55   57   45   57   77   48 27.875626 0.000498 FAILURE  79
101000000  107   59   21   16   28   44   46   53 122.214781 0.000000 FAILURE  80
101000100   43   54   41   45   39   45   58   47 26.434222 0.000885 FAILURE  81
101001000   58   50   43   58   47   51   46   37 20.543863 0.008463 FAILURE  82
101001100   75   70   89   65   92  115   62   48 100.665158 0.000000 FAILURE  83
101010000   55   57   48   26   45   47   55   53 27.937173 0.000486 FAILURE  84
101010100   40   40   49   46   47   61   48   54 22.004226 0.004908 FAILURE  85
101011000   55   41   65   88   73   76   53   48 32.880974 0.000065 FAILURE  86
101011100   95   80  105   94  109   91   59   52 153.594582 0.000000 FAILURE  87
101100000   50   27   23   31   34   39   55   48 75.313097 0.000000 FAILURE  88
101100100   45   55   40   63   50   60   60   75 16.159203 0.040157 SUCCESS  89
101101000   51   62   58   62   76   71   54   49 11.352783 0.182500 SUCCESS  90
101101100   73   77   74   83   77   90   61   66 47.649459 0.000000 FAILURE  91
101110000   28   33   33   35   33   38   44   48 75.297985 0.000000 FAILURE  92
101110100   51   50   75   74   57   49   58   79 20.038026 0.010193 SUCCESS  93
101111000   27   41   58   65   50   43   59   49 31.495347 0.000115 FAILURE  94
101111100   65   61   87   67   97   73   59   66 46.028910 0.000000 FAILURE  95
110000000  116   53   16   16   30   45   65   70 143.377264 0.000000 FAILURE  96
110000010   52   36   28   27   30   54   65   72 63.166671 0.000000 FAILURE  97
110000100   45   36   51   35   30   37   42   58 51.460140 0.000000 FAILURE  98
110001000   44   28   43   47   37   42   47   59 43.161488 0.000001 FAILURE  99
110001010   52   58   50   48   50   63   61   59  5.999860 0.647248 SUCCESS 100
110010000   39   46   38   27   34   38   56   55 54.003067 0.000000 FAILURE 101
110010010   26   52   47   39   53   58   59   61 29.775059 0.000232 FAILURE 102
110010100   36   48   62   53   44   44   59   71 22.294375 0.004399 FAILURE 103
110011000   56   60   47   60   60   69   53   48  7.137377 0.521886 SUCCESS 104
110011010   38   62   73   72  100   83   67   68 57.200753 0.000000 FAILURE 105
110100000   44   48   41   36   43   37   47   55 36.084705 0.000017 FAILURE 106
110100010   54   70   62   70   68   63   57   50  8.210324 0.413200 SUCCESS 107
110100100   46   65   53   76   71   56   58   62 12.294669 0.138533 SUCCESS 108
110101000   58   66   63   54   60   60   56   68  3.312683 0.913231 SUCCESS 109
110101010   46   59   65   61   71   82   51   59 16.791707 0.032353 SUCCESS 110
110101100   59   81   79  122   96   92   76   57 135.025308 0.000000 FAILURE 111
110110000   27   25   36   38   35   31   51   48 81.322702 0.000000 FAILURE 112
110110010   45   53   66   62   55   63   55   70  8.056182 0.428001 SUCCESS 113
110110100   51   54   55   68   58   44   72   65 10.820843 0.212059 SUCCESS 114
110111000   22   28   34   39   34   33   50   48 84.168418 0.000000 FAILURE 115
110111010   53   45   63   68   55   57   59   68  7.539354 0.479708 SUCCESS 116
